time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.level,.name,.msg,.file,.function,.line,.topics
2018/04/01/18:18:18.749300,5,1522631898,704864257,,2,/record_1522631898679553043,Subscribing to /rosout,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:18:18.749351,6,1522631898,708952726,,2,/record_1522631898679553043,Subscribing to /us2_processed,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:18:18.749359,7,1522631898,712093887,,2,/record_1522631898679553043,Subscribing to /rosout_agg,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:18:18.749368,8,1522631898,715246406,,2,/record_1522631898679553043,Subscribing to /us1_processed,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:18:18.749375,9,1522631898,719941421,,2,/record_1522631898679553043,Subscribing to /servo,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:18:18.749379,10,1522631898,724402207,,2,/record_1522631898679553043,Subscribing to /acc2,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:18:18.749384,11,1522631898,727516258,,2,/record_1522631898679553043,Subscribing to /acc1,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:18:18.749393,12,1522631898,730644847,,2,/record_1522631898679553043,Subscribing to /fsr1,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:18:18.749397,13,1522631898,733630496,,2,/record_1522631898679553043,Subscribing to /diagnostics,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:18:18.749401,14,1522631898,736673302,,2,/record_1522631898679553043,Subscribing to /fsr2,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:18:18.749406,15,1522631898,739706676,,2,/record_1522631898679553043,Subscribing to /motors,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:18:18.749413,16,1522631898,742784308,,2,/record_1522631898679553043,Subscribing to /acc2_processed,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:18:18.749546,17,1522631898,745825477,,2,/record_1522631898679553043,Subscribing to /acc1_processed,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:18:18.995633,15,1522631768,578157901,,2,/serial_node,Setup subscriber on motors [std_msgs/Int8],SerialClient.py,setupSubscriber,549,"['/us1', '/us2', '/rosout', '/motors', '/servo', '/acc2', '/acc1', '/fsr1', '/diagnostics', '/fsr2']"
