time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.level,.name,.msg,.file,.function,.line,.topics
2018/04/01/18:18:06.104837,5,1522631886,60888763,,2,/record_1522631886040914907,Subscribing to /rosout,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:18:06.106428,6,1522631886,65076068,,2,/record_1522631886040914907,Subscribing to /us2_processed,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:18:06.106443,7,1522631886,68367236,,2,/record_1522631886040914907,Subscribing to /rosout_agg,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:18:06.106687,8,1522631886,71475363,,2,/record_1522631886040914907,Subscribing to /us1_processed,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:18:06.106715,9,1522631886,75283613,,2,/record_1522631886040914907,Subscribing to /servo,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:18:06.106722,10,1522631886,80266372,,2,/record_1522631886040914907,Subscribing to /acc2,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:18:06.106726,11,1522631886,83081874,,2,/record_1522631886040914907,Subscribing to /acc1,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:18:06.106737,12,1522631886,86161388,,2,/record_1522631886040914907,Subscribing to /fsr1,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:18:06.106740,13,1522631886,89175567,,2,/record_1522631886040914907,Subscribing to /diagnostics,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:18:06.106747,14,1522631886,92077973,,2,/record_1522631886040914907,Subscribing to /fsr2,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:18:06.106752,15,1522631886,95135337,,2,/record_1522631886040914907,Subscribing to /motors,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:18:06.106782,16,1522631886,98386344,,2,/record_1522631886040914907,Subscribing to /acc2_processed,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:18:06.106879,17,1522631886,101498104,,2,/record_1522631886040914907,Subscribing to /acc1_processed,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:18:06.270422,14,1522631768,578157901,,2,/serial_node,Setup subscriber on motors [std_msgs/Int8],SerialClient.py,setupSubscriber,549,"['/us1', '/us2', '/rosout', '/motors', '/servo', '/acc2', '/acc1', '/fsr1', '/diagnostics', '/fsr2']"
