time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.level,.name,.msg,.file,.function,.line,.topics
2018/04/01/18:16:45.515986,5,1522631805,470879176,,2,/record_1522631805450997878,Subscribing to /rosout,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:16:45.516190,6,1522631805,475494517,,2,/record_1522631805450997878,Subscribing to /us2_processed,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:16:45.516525,7,1522631805,478907790,,2,/record_1522631805450997878,Subscribing to /rosout_agg,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:16:45.516582,8,1522631805,481937171,,2,/record_1522631805450997878,Subscribing to /us1_processed,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:16:45.516589,9,1522631805,486949404,,2,/record_1522631805450997878,Subscribing to /servo,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:16:45.516649,10,1522631805,491167848,,2,/record_1522631805450997878,Subscribing to /acc2,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:16:45.516680,11,1522631805,494233357,,2,/record_1522631805450997878,Subscribing to /acc1,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:16:45.516751,12,1522631805,497316636,,2,/record_1522631805450997878,Subscribing to /fsr1,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:16:45.516968,13,1522631805,500490617,,2,/record_1522631805450997878,Subscribing to /diagnostics,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:16:45.517008,14,1522631805,503562615,,2,/record_1522631805450997878,Subscribing to /fsr2,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:16:45.518273,15,1522631805,506538398,,2,/record_1522631805450997878,Subscribing to /motors,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:16:45.518282,16,1522631805,509412060,,2,/record_1522631805450997878,Subscribing to /acc2_processed,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:16:45.518338,17,1522631805,512515634,,2,/record_1522631805450997878,Subscribing to /acc1_processed,/tmp/binarydeb/ros-kinetic-rosbag-1.12.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,['/rosout']
2018/04/01/18:16:45.691718,13,1522631768,578157901,,2,/serial_node,Setup subscriber on motors [std_msgs/Int8],SerialClient.py,setupSubscriber,549,"['/us1', '/us2', '/rosout', '/motors', '/servo', '/acc2', '/acc1', '/fsr1', '/diagnostics', '/fsr2']"
